,id,v,drg0,drg,z_drg,z_drg0,sp_drg
108,PTAr,100.0,,-5.6125538732677285,-1.4006460394920501,,2.594663733140245e-09
109,PYK,100.0,,-18.210106676454025,-0.3337441914416527,,9.259579671722711e-11
110,RPE,0.2926203873550337,,-5.296338363636619,0.03261773742922226,,2.9617272913887353e-10
111,RPI,-0.9372563149613026,,3.631942194974547,0.029650373322167717,,4.374058135654828e-10
112,SUCD,1.108810076855982,,-73.13206783696114,0.13426173782835205,,1.9339774139715555e-11
113,SUCOAS,-59.15240676473658,,15.293019287925418,2.333771222896367,,1.227113883181715e-10
114,TALA,0.27571513094411293,,-0.09999999999997256,-0.3135262649440671,,0.09417605880940061
115,TKT1,0.2926202860458144,,-3.7407495175931404,0.16747799590016016,,4.4126168083847806e-10
116,TKT2,1.0130921926371619e-07,,-6.359238636285833,0.30276486774128086,,2.4592747505393633e-10
117,TPI,-2.0200000000000004e-07,,3.031047341091588,0.16194563523410638,,5.014533415099567e-10
118,TRDR,0.22356349898554956,,-4.338549325731944,-0.005061729912509069,,3.6875097702802093e-10
119,TRE6PH,1.8442690486477078e-07,,-25.24556261282218,0.2360381089672881,,5.853739253754459e-11
120,TRE6PP,1.0017374738418292e-05,,-26.905368763883143,0.14515290654570534,,5.4302965484500915e-11
