,lb,ub
3c4mop_c,-16.118095650958324,-6.907755278982927
2ippm_c,-16.118095615214585,-6.907755278982137
3c3hmp_c,-16.11809540026099,-6.907755278982137
3hmrsACP_c,-16.118095651383484,-6.907755278982137
kdo_c,-16.118095650958608,-6.907755278982137
ckdo_c,-16.118095650701285,-6.907755278982137
kdo8p_c,-16.118095650958324,-6.907755278982137
lac-L_c,-16.118095650915144,-6.907755278982137
4mop_c,-16.11809569535437,-6.907755278982137
leu-L_c,-16.11809565073476,-6.907755278982137
mthgxl_c,-16.118095650957173,-6.907755278982137
lipidX_c,-16.118095650898738,-6.907755278982137
u23ga_c,-16.118095650889607,-6.907755278982137
lipidAds_c,-16.118095650951624,-6.907755278982137
agpgEC_c,-16.118095651555542,-6.907755278982137
agpeEC_c,-16.118095650919166,-6.907755278982137
agpcEC_c,-16.118095651076032,-6.907755278982137
apgEC_c,-16.118095651044698,-6.907755278982137
cdpea_c,-16.11809565093231,-6.907755279745611
lpsEC_c,-16.118095651011643,-6.907755278982137
2mcit_c,-16.118095650964214,-6.9077552790216705
2mcacn_c,-16.11809565111576,-6.907755278982137
micit_c,-16.11809565090934,-6.907755278982137
5mdru1p_c,-16.118095650954153,-6.907755278982137
met-L_c,-16.11809565088091,-7.364520502155418
5mthf_c,-16.118095651019694,-6.907755278982137
mmcoa-S_c,-16.118095654146423,-6.907755278982137
mmcoa-R_c,-16.1180957885369,-6.907755278982137
lipidA_c,-16.1180956509591,-6.907755278982137
kdolipid4_c,-16.118095651151364,-6.907755278982137
5mta_c,-16.118095650949982,-6.907755278982137
5mtr_c,-16.118095650952213,-6.907755278982137
methf_c,-16.118095650907094,-6.907755278982634
5mdr1p_c,-16.118095650958317,-6.907755278982137
nmn_c,-16.118095650958324,-6.907755278982137
h2o_e,0.0,-0.0
nmn_e,-16.11809565139874,-6.907755278982137
dnad_c,-16.118095650878182,-6.907755278982137
nac_c,-16.118095650899924,-6.907755278982137
nicrnt_c,-16.11809565091511,-6.907755278982137
dgtp_c,-16.11809565097265,-6.907755278982137
dudp_c,-16.118095650909424,-6.907755278987048
datp_c,-16.118095650910078,-7.8316710624187476
ncam_c,-16.118095787936944,-6.907755278982137
quln_c,-16.11809565091594,-8.808841300797656
xtsn_c,-16.118095650952085,-6.907755278982137
thymd_c,-16.118095650958324,-6.907755278982137
dgsn_c,-13.87559917906247,-12.874330802797688
pppi_c,-16.118095650957258,-6.907755278982137
no2_c,-16.11809565090126,-6.907755278982137
orot5p_c,-16.11809565124605,-6.907755278982137
pro-L_c,-16.118095651178862,-6.451986819158975
pnto-R_c,-16.118095650958324,-6.907755278982137
ugmda_c,-16.118095650955695,-6.907755278982137
uagmda_c,-16.11809565088941,-6.907755278982137
trdrd_c,-16.118095650958324,-6.907755278982137
trdox_c,-16.118095651208534,-6.907755278982137
pdx5p_c,-16.118095650710977,-6.907755278982137
pydxn_c,-16.118095650836658,-6.907755278982137
peEC_c,-16.118095651511908,-6.907755278982137
3php_c,-16.118095651017484,-6.907755278982525
pgpEC_c,-16.118095650958324,-6.907755278982137
phe-L_c,-16.118095650951922,-7.595645383005458
phpyr_c,-16.118095650941648,-6.290088521103796
4r5au_c,-16.118095650958622,-6.907755278982137
4ppan_c,-16.11809565087772,-6.907755278982137
ppap_c,-16.118095656909972,-6.907755278982137
4ppcys_c,-16.118095651028902,-6.907755278982137
pan4p_c,-16.11809565091543,-6.907755278982137
r1p_c,-16.118095630217915,-6.907755278982137
34hpp_c,-16.118095650913205,-6.907755278982137
uaagmda_c,-16.11809565097675,-6.907755278982137
peptidoEC_c,-16.118095651216734,-6.907755278982137
fpram_c,-16.11809565098799,-6.907755278982137
prbamp_c,-16.11809564901388,-6.907755278982137
prfp_c,-16.118095650862323,-6.907755278982137
skm5p_c,-16.118095650881862,-6.907755278982137
psEC_c,-16.118095649350693,-6.907755278982137
pser-L_c,-16.118095650958324,-6.907755278982137
pydx_c,-16.118095651497768,-6.907755278982137
ribflv_c,-11.086914531457824,-9.397555671021099
dmlz_c,-16.11809565091488,-6.907755278982137
xu5p-D_c,-9.573772665129722,-5.91830880454841
s7p_c,-16.11809565101774,-6.907755278982137
sucorn_c,-16.11809565097193,-6.907755278982137
so4_c,-16.118095650908614,-6.907755278982137
sl26da_c,-16.118095650914462,-6.907755278982137
sl2a6o_c,-16.118095755464743,-6.907755278982156
sucglu_c,-16.118095650958324,-6.907755278982137
sucgsa_c,-16.118095650888357,-6.907755278982137
skm_c,-11.680759396291831,-9.235323178723926
thr-L_c,-16.118095650935985,-7.222044853908663
tyr-L_c,-16.11809565094189,-6.793356370102068
tmao_c,-16.11809565091258,-6.907755278982137
tma_c,-16.118095650958324,-6.907755278982137
tre6p_c,-16.118095650885245,-6.907755278982137
